map_name,hero,Ultimate Kills,Ultimates Used,Kills per Ult
Horizon Lunar Colony,D.Va,233.0,793.0,0.2938209331651955
Horizon Lunar Colony,Doomfist,32.0,36.0,0.8888888888888888
Horizon Lunar Colony,Genji,134.0,133.0,1.0075187969924813
Horizon Lunar Colony,Hanzo,10.0,33.0,0.30303030303030304
Horizon Lunar Colony,Junkrat,203.0,276.0,0.7355072463768116
Horizon Lunar Colony,McCree,25.0,53.0,0.4716981132075472
Horizon Lunar Colony,Mei,42.0,46.0,0.9130434782608695
Horizon Lunar Colony,Moira,187.0,272.0,0.6875
Horizon Lunar Colony,Orisa,328.0,151.0,2.172185430463576
Horizon Lunar Colony,Pharah,60.0,55.0,1.0909090909090908
Horizon Lunar Colony,Reaper,47.0,36.0,1.3055555555555556
Horizon Lunar Colony,Reinhardt,229.0,408.0,0.5612745098039216
Horizon Lunar Colony,Roadhog,32.0,49.0,0.6530612244897959
Horizon Lunar Colony,Sigma,32.0,35.0,0.9142857142857143
Horizon Lunar Colony,Soldier: 76,22.0,33.0,0.6666666666666666
Horizon Lunar Colony,Torbjörn,2.0,7.0,0.2857142857142857
Horizon Lunar Colony,Tracer,170.0,453.0,0.37527593818984545
Horizon Lunar Colony,Winston,243.0,413.0,0.5883777239709443
Horizon Lunar Colony,Wrecking Ball,21.0,38.0,0.5526315789473685
Horizon Lunar Colony,Zarya,484.0,441.0,1.0975056689342404
Ilios,Ana,478.0,644.0,0.7422360248447205
Ilios,Ashe,93.0,134.0,0.6940298507462687
Ilios,Baptiste,133.0,230.0,0.5782608695652174
Ilios,Bastion,2.0,4.0,0.5
Ilios,D.Va,359.0,1380.0,0.26014492753623186
Ilios,Doomfist,36.0,85.0,0.4235294117647059
Ilios,Echo,187.0,295.0,0.6338983050847458
Ilios,Genji,169.0,160.0,1.05625
Ilios,Hanzo,22.0,55.0,0.4
Ilios,Junkrat,10.0,23.0,0.43478260869565216
Ilios,McCree,105.0,257.0,0.4085603112840467
Ilios,Mei,183.0,183.0,1.0
Ilios,Moira,478.0,737.0,0.6485753052917232
Ilios,Orisa,795.0,321.0,2.4766355140186915
Ilios,Pharah,322.0,286.0,1.1258741258741258
Ilios,Reaper,139.0,123.0,1.1300813008130082
Ilios,Reinhardt,222.0,409.0,0.5427872860635696
Ilios,Roadhog,55.0,77.0,0.7142857142857143
Ilios,Sigma,84.0,135.0,0.6222222222222222
Ilios,Soldier: 76,27.0,49.0,0.5510204081632653
Ilios,Torbjörn,14.0,25.0,0.56
Ilios,Tracer,443.0,1256.0,0.35270700636942676
Ilios,Winston,663.0,982.0,0.675152749490835
Ilios,Wrecking Ball,91.0,275.0,0.33090909090909093
Ilios,Zarya,621.0,569.0,1.0913884007029877
Junkertown,Ana,263.0,336.0,0.7827380952380952
Junkertown,Ashe,7.0,13.0,0.5384615384615384
Junkertown,Baptiste,203.0,383.0,0.5300261096605744
Junkertown,Bastion,103.0,102.0,1.0098039215686274
Junkertown,D.Va,457.0,1013.0,0.45113524185587367
Junkertown,Doomfist,3.0,4.0,0.75
Junkertown,Echo,55.0,113.0,0.48672566371681414
Junkertown,Genji,321.0,251.0,1.2788844621513944
Junkertown,Hanzo,179.0,333.0,0.5375375375375375
Junkertown,Junkrat,308.0,474.0,0.6497890295358649
Junkertown,McCree,18.0,45.0,0.4
Junkertown,Mei,278.0,224.0,1.2410714285714286
Junkertown,Moira,140.0,190.0,0.7368421052631579
Junkertown,Orisa,1656.0,782.0,2.1176470588235294
Junkertown,Pharah,20.0,16.0,1.25
Junkertown,Reaper,63.0,48.0,1.3125
Junkertown,Reinhardt,174.0,289.0,0.6020761245674741
Junkertown,Roadhog,382.0,476.0,0.8025210084033614
Junkertown,Sigma,161.0,221.0,0.7285067873303167
Junkertown,Soldier: 76,7.0,12.0,0.5833333333333334
Junkertown,Torbjörn,10.0,7.0,1.4285714285714286
Junkertown,Tracer,200.0,550.0,0.36363636363636365
Junkertown,Winston,230.0,306.0,0.7516339869281046
Junkertown,Wrecking Ball,8.0,27.0,0.2962962962962963
Junkertown,Zarya,237.0,195.0,1.2153846153846153
King's Row,Ana,579.0,747.0,0.7751004016064257
King's Row,Ashe,293.0,401.0,0.7306733167082294
King's Row,Baptiste,538.0,808.0,0.6658415841584159
King's Row,Bastion,9.0,8.0,1.125
King's Row,D.Va,537.0,1330.0,0.4037593984962406
King's Row,Doomfist,121.0,173.0,0.6994219653179191
King's Row,Echo,120.0,206.0,0.5825242718446602
King's Row,Genji,442.0,332.0,1.3313253012048192
King's Row,Hanzo,320.0,461.0,0.6941431670281996
King's Row,Junkrat,232.0,344.0,0.6744186046511628
King's Row,McCree,124.0,326.0,0.3803680981595092
King's Row,Mei,717.0,595.0,1.2050420168067226
King's Row,Moira,828.0,1140.0,0.7263157894736842
King's Row,Orisa,2028.0,686.0,2.956268221574344
King's Row,Pharah,178.0,144.0,1.2361111111111112
King's Row,Reaper,367.0,237.0,1.5485232067510548
King's Row,Reinhardt,834.0,1272.0,0.6556603773584906
King's Row,Roadhog,168.0,220.0,0.7636363636363637
King's Row,Sigma,492.0,612.0,0.803921568627451
King's Row,Soldier: 76,17.0,22.0,0.7727272727272727
King's Row,Torbjörn,1.0,6.0,0.16666666666666666
